Fetching data for NSE:DIXON-EQ from Dec 11, 2025 to Jan 31, 2026...
Fetching 2025-12-11 to 2025-12-31...
  Fetched 1750 candles.
Fetching 2026-01-01 to 2026-01-31...
  Fetched 2500 candles.
Total Fetched Candles: 4250

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
134   | 2026-01-07 14:48:00  | ENTER LONG      | 11760.00   | 0.00       | SL Reversal Entry
134   | 2026-01-07 15:00:00  | EXIT (Square Off) | 11765.00   | 5.00       | Auto Square Off at 15:00:00
135   | 2026-01-08 09:15:00  | ENTER LONG      | 11789.00   | 0.00       | Fresh Entry (Close 11789 > VWAP 11764.00)
135   | 2026-01-08 09:24:00  | EXIT (Reversal) | 11804.00   | 15.00      | Reversed to SHORT
136   | 2026-01-08 09:24:00  | ENTER SHORT     | 11804.00   | 0.00       | Reversal Entry (Close 11804 < VWAP 11815.90)
136   | 2026-01-08 09:51:00  | EXIT (SL)       | 11819.00   | -15.00     | SL Hit (Close 11819 >= SL 11795.95)
137   | 2026-01-08 09:51:00  | ENTER LONG      | 11819.00   | 0.00       | SL Reversal Entry
137   | 2026-01-08 10:09:00  | EXIT (SL)       | 11785.00   | -34.00     | SL Hit (Close 11785 <= SL 11804.52)
138   | 2026-01-08 10:09:00  | ENTER SHORT     | 11785.00   | 0.00       | SL Reversal Entry
138   | 2026-01-08 10:15:00  | EXIT (Reversal) | 11806.00   | -21.00     | Reversed to LONG
139   | 2026-01-08 10:15:00  | ENTER LONG      | 11806.00   | 0.00       | Reversal Entry (Close 11806 > VWAP 11804.07)
139   | 2026-01-08 10:18:00  | EXIT (SL)       | 11791.00   | -15.00     | SL Hit (Close 11791 <= SL 11797.00)
140   | 2026-01-08 10:18:00  | ENTER SHORT     | 11791.00   | 0.00       | SL Reversal Entry
140   | 2026-01-08 10:24:00  | EXIT (Reversal) | 11804.00   | -13.00     | Reversed to LONG
141   | 2026-01-08 10:24:00  | ENTER LONG      | 11804.00   | 0.00       | Reversal Entry (Close 11804 > VWAP 11803.72)
141   | 2026-01-08 10:39:00  | EXIT (Reversal) | 11800.00   | -4.00      | Reversed to SHORT
142   | 2026-01-08 10:39:00  | ENTER SHORT     | 11800.00   | 0.00       | Reversal Entry (Close 11800 < VWAP 11804.44)
142   | 2026-01-08 10:48:00  | EXIT (Reversal) | 11807.00   | -7.00      | Reversed to LONG
143   | 2026-01-08 10:48:00  | ENTER LONG      | 11807.00   | 0.00       | Reversal Entry (Close 11807 > VWAP 11797.95)
143   | 2026-01-08 11:00:00  | EXIT (Reversal) | 11799.00   | -8.00      | Reversed to SHORT
144   | 2026-01-08 11:00:00  | ENTER SHORT     | 11799.00   | 0.00       | Reversal Entry (Close 11799 < VWAP 11801.33)
144   | 2026-01-08 11:03:00  | EXIT (Reversal) | 11805.00   | -6.00      | Reversed to LONG
145   | 2026-01-08 11:03:00  | ENTER LONG      | 11805.00   | 0.00       | Reversal Entry (Close 11805 > VWAP 11801.35)
145   | 2026-01-08 11:48:00  | EXIT (SL)       | 11803.00   | -2.00      | SL Hit (Close 11803 <= SL 11805.05)
146   | 2026-01-08 11:48:00  | ENTER SHORT     | 11803.00   | 0.00       | SL Reversal Entry
146   | 2026-01-08 11:51:00  | EXIT (SL)       | 11825.00   | -22.00     | SL Hit (Close 11825 >= SL 11820.00)
147   | 2026-01-08 11:51:00  | ENTER LONG      | 11825.00   | 0.00       | SL Reversal Entry
147   | 2026-01-08 11:54:00  | EXIT (SL)       | 11780.00   | -45.00     | SL Hit (Close 11780 <= SL 11793.00)
148   | 2026-01-08 11:54:00  | ENTER SHORT     | 11780.00   | 0.00       | SL Reversal Entry
148   | 2026-01-08 12:06:00  | EXIT (Reversal) | 11817.00   | -37.00     | Reversed to LONG
149   | 2026-01-08 12:06:00  | ENTER LONG      | 11817.00   | 0.00       | Reversal Entry (Close 11817 > VWAP 11802.95)
149   | 2026-01-08 15:00:00  | EXIT (Square Off) | 11974.00   | 157.00     | Auto Square Off at 15:00:00
150   | 2026-01-09 09:15:00  | ENTER LONG      | 11970.00   | 0.00       | Fresh Entry (Close 11970 > VWAP 11932.33)
150   | 2026-01-09 09:18:00  | EXIT (Reversal) | 11907.00   | -63.00     | Reversed to SHORT
151   | 2026-01-09 09:18:00  | ENTER SHORT     | 11907.00   | 0.00       | Reversal Entry (Close 11907 < VWAP 11930.79)
151   | 2026-01-09 09:45:00  | EXIT (SL)       | 11872.00   | 35.00      | SL Hit (Close 11872 >= SL 11860.63)
152   | 2026-01-09 09:45:00  | ENTER LONG      | 11872.00   | 0.00       | SL Reversal Entry
152   | 2026-01-09 11:15:00  | EXIT (SL)       | 11907.00   | 35.00      | SL Hit (Close 11907 <= SL 11918.21)
153   | 2026-01-09 11:15:00  | ENTER SHORT     | 11907.00   | 0.00       | SL Reversal Entry
153   | 2026-01-09 11:21:00  | EXIT (SL)       | 11950.00   | -43.00     | SL Hit (Close 11950 >= SL 11932.00)
154   | 2026-01-09 11:21:00  | ENTER LONG      | 11950.00   | 0.00       | SL Reversal Entry
154   | 2026-01-09 11:51:00  | EXIT (SL)       | 11922.00   | -28.00     | SL Hit (Close 11922 <= SL 11922.26)
155   | 2026-01-09 11:51:00  | ENTER SHORT     | 11922.00   | 0.00       | SL Reversal Entry
155   | 2026-01-09 11:54:00  | EXIT (Reversal) | 11925.00   | -3.00      | Reversed to LONG
156   | 2026-01-09 11:54:00  | ENTER LONG      | 11925.00   | 0.00       | Reversal Entry (Close 11925 > VWAP 11922.30)
156   | 2026-01-09 12:21:00  | EXIT (SL)       | 11918.00   | -7.00      | SL Hit (Close 11918 <= SL 11922.69)
157   | 2026-01-09 12:21:00  | ENTER SHORT     | 11918.00   | 0.00       | SL Reversal Entry
157   | 2026-01-09 12:33:00  | EXIT (Reversal) | 11924.00   | -6.00      | Reversed to LONG
158   | 2026-01-09 12:33:00  | ENTER LONG      | 11924.00   | 0.00       | Reversal Entry (Close 11924 > VWAP 11921.72)
158   | 2026-01-09 12:39:00  | EXIT (SL)       | 11912.00   | -12.00     | SL Hit (Close 11912 <= SL 11915.00)
159   | 2026-01-09 12:39:00  | ENTER SHORT     | 11912.00   | 0.00       | SL Reversal Entry
159   | 2026-01-09 12:51:00  | EXIT (Reversal) | 11924.00   | -12.00     | Reversed to LONG
160   | 2026-01-09 12:51:00  | ENTER LONG      | 11924.00   | 0.00       | Reversal Entry (Close 11924 > VWAP 11921.53)
160   | 2026-01-09 12:54:00  | EXIT (Reversal) | 11921.00   | -3.00      | Reversed to SHORT
161   | 2026-01-09 12:54:00  | ENTER SHORT     | 11921.00   | 0.00       | Reversal Entry (Close 11921 < VWAP 11921.53)
161   | 2026-01-09 12:57:00  | EXIT (Reversal) | 11924.00   | -3.00      | Reversed to LONG
162   | 2026-01-09 12:57:00  | ENTER LONG      | 11924.00   | 0.00       | Reversal Entry (Close 11924 > VWAP 11921.53)
162   | 2026-01-09 13:00:00  | EXIT (Reversal) | 11910.00   | -14.00     | Reversed to SHORT
163   | 2026-01-09 13:00:00  | ENTER SHORT     | 11910.00   | 0.00       | Reversal Entry (Close 11910 < VWAP 11921.52)
163   | 2026-01-09 13:18:00  | EXIT (SL)       | 11939.00   | -29.00     | SL Hit (Close 11939 >= SL 11921.09)
164   | 2026-01-09 13:18:00  | ENTER LONG      | 11939.00   | 0.00       | SL Reversal Entry
164   | 2026-01-09 13:42:00  | EXIT (SL)       | 11912.00   | -27.00     | SL Hit (Close 11912 <= SL 11921.92)
165   | 2026-01-09 13:42:00  | ENTER SHORT     | 11912.00   | 0.00       | SL Reversal Entry
165   | 2026-01-09 13:57:00  | EXIT (SL)       | 11938.00   | -26.00     | SL Hit (Close 11938 >= SL 11931.00)
166   | 2026-01-09 13:57:00  | ENTER LONG      | 11938.00   | 0.00       | SL Reversal Entry
166   | 2026-01-09 14:06:00  | EXIT (SL)       | 11913.00   | -25.00     | SL Hit (Close 11913 <= SL 11914.00)
167   | 2026-01-09 14:06:00  | ENTER SHORT     | 11913.00   | 0.00       | SL Reversal Entry
167   | 2026-01-09 14:45:00  | EXIT (SL)       | 11925.00   | -12.00     | SL Hit (Close 11925 >= SL 11914.11)
168   | 2026-01-09 14:45:00  | ENTER LONG      | 11925.00   | 0.00       | SL Reversal Entry
168   | 2026-01-09 14:48:00  | EXIT (Reversal) | 11910.00   | -15.00     | Reversed to SHORT
169   | 2026-01-09 14:48:00  | ENTER SHORT     | 11910.00   | 0.00       | Reversal Entry (Close 11910 < VWAP 11914.14)
169   | 2026-01-09 14:51:00  | EXIT (Reversal) | 11926.00   | -16.00     | Reversed to LONG
170   | 2026-01-09 14:51:00  | ENTER LONG      | 11926.00   | 0.00       | Reversal Entry (Close 11926 > VWAP 11914.28)
170   | 2026-01-09 15:00:00  | EXIT (Square Off) | 11901.00   | -25.00     | Auto Square Off at 15:00:00
171   | 2026-01-12 09:15:00  | ENTER SHORT     | 11805.00   | 0.00       | Fresh Entry (Close 11805 < VWAP 11810.33)
171   | 2026-01-12 09:36:00  | EXIT (SL)       | 11778.00   | 27.00      | SL Hit (Close 11778 >= SL 11762.28)
172   | 2026-01-12 09:36:00  | ENTER LONG      | 11778.00   | 0.00       | SL Reversal Entry
172   | 2026-01-12 09:57:00  | EXIT (SL)       | 11768.00   | -10.00     | SL Hit (Close 11768 <= SL 11778.32)
173   | 2026-01-12 09:57:00  | ENTER SHORT     | 11768.00   | 0.00       | SL Reversal Entry
173   | 2026-01-12 10:00:00  | EXIT (Reversal) | 11780.00   | -12.00     | Reversed to LONG
174   | 2026-01-12 10:00:00  | ENTER LONG      | 11780.00   | 0.00       | Reversal Entry (Close 11780 > VWAP 11778.59)
174   | 2026-01-12 10:15:00  | EXIT (Reversal) | 11770.00   | -10.00     | Reversed to SHORT
175   | 2026-01-12 10:15:00  | ENTER SHORT     | 11770.00   | 0.00       | Reversal Entry (Close 11770 < VWAP 11781.03)
175   | 2026-01-12 10:18:00  | EXIT (SL)       | 11798.00   | -28.00     | SL Hit (Close 11798 >= SL 11785.00)
176   | 2026-01-12 10:18:00  | ENTER LONG      | 11798.00   | 0.00       | SL Reversal Entry
176   | 2026-01-12 10:30:00  | EXIT (Reversal) | 11770.00   | -28.00     | Reversed to SHORT
