Fetching data for NSE:DIXON-EQ from 2026-01-01 to 2026-01-31...
Fetched 2500 candles.

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
73    | 2026-01-09 13:00:00  | ENTER SHORT     | 11910.00   | 0.00       | Reversal Entry (Close 11910 < VWAP 11921.52)
73    | 2026-01-09 13:18:00  | EXIT (SL)       | 11939.00   | -29.00     | SL Hit (Close 11939 >= SL 11921.09)
74    | 2026-01-09 13:18:00  | ENTER LONG      | 11939.00   | 0.00       | SL Reversal Entry
74    | 2026-01-09 13:42:00  | EXIT (SL)       | 11912.00   | -27.00     | SL Hit (Close 11912 <= SL 11921.92)
75    | 2026-01-09 13:42:00  | ENTER SHORT     | 11912.00   | 0.00       | SL Reversal Entry
75    | 2026-01-09 13:57:00  | EXIT (SL)       | 11938.00   | -26.00     | SL Hit (Close 11938 >= SL 11931.00)
76    | 2026-01-09 13:57:00  | ENTER LONG      | 11938.00   | 0.00       | SL Reversal Entry
76    | 2026-01-09 14:06:00  | EXIT (SL)       | 11913.00   | -25.00     | SL Hit (Close 11913 <= SL 11914.00)
77    | 2026-01-09 14:06:00  | ENTER SHORT     | 11913.00   | 0.00       | SL Reversal Entry
77    | 2026-01-09 14:45:00  | EXIT (SL)       | 11925.00   | -12.00     | SL Hit (Close 11925 >= SL 11914.11)
78    | 2026-01-09 14:45:00  | ENTER LONG      | 11925.00   | 0.00       | SL Reversal Entry
78    | 2026-01-09 14:48:00  | EXIT (Reversal) | 11910.00   | -15.00     | Reversed to SHORT
79    | 2026-01-09 14:48:00  | ENTER SHORT     | 11910.00   | 0.00       | Reversal Entry (Close 11910 < VWAP 11914.14)
79    | 2026-01-09 14:51:00  | EXIT (Reversal) | 11926.00   | -16.00     | Reversed to LONG
80    | 2026-01-09 14:51:00  | ENTER LONG      | 11926.00   | 0.00       | Reversal Entry (Close 11926 > VWAP 11914.28)
80    | 2026-01-09 15:00:00  | EXIT (Square Off) | 11901.00   | -25.00     | Auto Square Off at 15:00:00
81    | 2026-01-12 09:15:00  | ENTER SHORT     | 11805.00   | 0.00       | Fresh Entry (Close 11805 < VWAP 11810.33)
81    | 2026-01-12 09:36:00  | EXIT (SL)       | 11778.00   | 27.00      | SL Hit (Close 11778 >= SL 11762.28)
82    | 2026-01-12 09:36:00  | ENTER LONG      | 11778.00   | 0.00       | SL Reversal Entry
82    | 2026-01-12 09:57:00  | EXIT (SL)       | 11768.00   | -10.00     | SL Hit (Close 11768 <= SL 11778.32)
83    | 2026-01-12 09:57:00  | ENTER SHORT     | 11768.00   | 0.00       | SL Reversal Entry
83    | 2026-01-12 10:00:00  | EXIT (Reversal) | 11780.00   | -12.00     | Reversed to LONG
84    | 2026-01-12 10:00:00  | ENTER LONG      | 11780.00   | 0.00       | Reversal Entry (Close 11780 > VWAP 11778.59)
84    | 2026-01-12 10:15:00  | EXIT (Reversal) | 11770.00   | -10.00     | Reversed to SHORT
85    | 2026-01-12 10:15:00  | ENTER SHORT     | 11770.00   | 0.00       | Reversal Entry (Close 11770 < VWAP 11781.03)
85    | 2026-01-12 10:18:00  | EXIT (SL)       | 11798.00   | -28.00     | SL Hit (Close 11798 >= SL 11785.00)
86    | 2026-01-12 10:18:00  | ENTER LONG      | 11798.00   | 0.00       | SL Reversal Entry
86    | 2026-01-12 10:30:00  | EXIT (Reversal) | 11770.00   | -28.00     | Reversed to SHORT
87    | 2026-01-12 10:30:00  | ENTER SHORT     | 11770.00   | 0.00       | Reversal Entry (Close 11770 < VWAP 11782.40)
87    | 2026-01-12 10:48:00  | EXIT (SL)       | 11810.00   | -40.00     | SL Hit (Close 11810 >= SL 11780.36)
88    | 2026-01-12 10:48:00  | ENTER LONG      | 11810.00   | 0.00       | SL Reversal Entry
88    | 2026-01-12 10:57:00  | EXIT (Reversal) | 11772.00   | -38.00     | Reversed to SHORT
89    | 2026-01-12 10:57:00  | ENTER SHORT     | 11772.00   | 0.00       | Reversal Entry (Close 11772 < VWAP 11781.90)
89    | 2026-01-12 11:57:00  | EXIT (SL)       | 11778.00   | -6.00      | SL Hit (Close 11778 >= SL 11776.14)
90    | 2026-01-12 11:57:00  | ENTER LONG      | 11778.00   | 0.00       | SL Reversal Entry
90    | 2026-01-12 12:03:00  | EXIT (Reversal) | 11775.00   | -3.00      | Reversed to SHORT
91    | 2026-01-12 12:03:00  | ENTER SHORT     | 11775.00   | 0.00       | Reversal Entry (Close 11775 < VWAP 11776.14)
91    | 2026-01-12 12:06:00  | EXIT (Reversal) | 11784.00   | -9.00      | Reversed to LONG
92    | 2026-01-12 12:06:00  | ENTER LONG      | 11784.00   | 0.00       | Reversal Entry (Close 11784 > VWAP 11776.21)
92    | 2026-01-12 14:33:00  | EXIT (SL)       | 11792.00   | 8.00       | SL Hit (Close 11792 <= SL 11795.97)
93    | 2026-01-12 14:33:00  | ENTER SHORT     | 11792.00   | 0.00       | SL Reversal Entry
93    | 2026-01-12 14:36:00  | EXIT (SL)       | 11828.00   | -36.00     | SL Hit (Close 11828 >= SL 11811.00)
94    | 2026-01-12 14:36:00  | ENTER LONG      | 11828.00   | 0.00       | SL Reversal Entry
94    | 2026-01-12 15:00:00  | EXIT (Square Off) | 11857.00   | 29.00      | Auto Square Off at 15:00:00
95    | 2026-01-13 09:15:00  | ENTER LONG      | 11928.00   | 0.00       | Fresh Entry (Close 11928 > VWAP 11916.67)
95    | 2026-01-13 09:18:00  | EXIT (Reversal) | 11885.00   | -43.00     | Reversed to SHORT
96    | 2026-01-13 09:18:00  | ENTER SHORT     | 11885.00   | 0.00       | Reversal Entry (Close 11885 < VWAP 11908.65)
96    | 2026-01-13 15:00:00  | EXIT (Square Off) | 11242.00   | 643.00     | Auto Square Off at 15:00:00
