Fetching data for NSE:DIXON-EQ from Mar 2025 to Dec 2025...
Total Fetched Candles: 25646

Running Backtest with Risk:Reward 1:8...

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
39    | 2025-04-08 15:00:00  | EXIT (Square Off) | 12956.80   | 48.20      | Auto Square Off at 15:00
40    | 2025-04-09 09:15:00  | ENTER SHORT     | 12931.60   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 245.40)
40    | 2025-04-09 12:45:00  | EXIT (SL)       | 13177.00   | -245.40    | SL Hit (High 13216.15 >= SL 13177.00)
41    | 2025-04-11 09:15:00  | ENTER SHORT     | 13668.75   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 279.85)
41    | 2025-04-11 09:33:00  | EXIT (SL)       | 13948.60   | -279.85    | SL Hit (High 14028 >= SL 13948.60)
42    | 2025-04-15 09:15:00  | ENTER SHORT     | 14609.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 197.00)
42    | 2025-04-15 12:06:00  | EXIT (SL)       | 14806.00   | -197.00    | SL Hit (High 14825 >= SL 14806.00)
43    | 2025-04-17 09:18:00  | ENTER SHORT     | 15228.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 66.00)
43    | 2025-04-17 09:21:00  | EXIT (SL)       | 15294.00   | -66.00     | SL Hit (High 15319 >= SL 15294.00)
44    | 2025-04-17 09:33:00  | ENTER SHORT     | 15266.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 42.00)
44    | 2025-04-17 09:42:00  | EXIT (SL)       | 15308.00   | -42.00     | SL Hit (High 15310 >= SL 15308.00)
45    | 2025-04-17 09:54:00  | ENTER SHORT     | 15280.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 34.00)
45    | 2025-04-17 11:27:00  | EXIT (SL)       | 15314.00   | -34.00     | SL Hit (High 15325 >= SL 15314.00)
46    | 2025-04-23 09:15:00  | ENTER SHORT     | 16892.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 177.00)
46    | 2025-04-23 15:00:00  | EXIT (Square Off) | 16630.00   | 262.00     | Auto Square Off at 15:00
47    | 2025-04-24 09:21:00  | ENTER LONG      | 16509.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 59.00)
47    | 2025-04-24 09:27:00  | EXIT (SL)       | 16450.00   | -59.00     | SL Hit (Low 16442 <= SL 16450.00)
48    | 2025-04-24 09:33:00  | ENTER LONG      | 16565.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 98.00)
48    | 2025-04-24 09:45:00  | EXIT (SL)       | 16467.00   | -98.00     | SL Hit (Low 16461 <= SL 16467.00)
49    | 2025-04-24 09:48:00  | ENTER LONG      | 16501.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 31.00)
49    | 2025-04-24 10:06:00  | EXIT (SL)       | 16470.00   | -31.00     | SL Hit (Low 16470 <= SL 16470.00)
50    | 2025-04-24 10:45:00  | ENTER LONG      | 16500.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 22.00)
50    | 2025-04-24 10:48:00  | EXIT (SL)       | 16478.00   | -22.00     | SL Hit (Low 16469 <= SL 16478.00)
51    | 2025-04-24 11:09:00  | ENTER LONG      | 16554.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 79.00)
51    | 2025-04-24 15:00:00  | EXIT (Square Off) | 16581.00   | 27.00      | Auto Square Off at 15:00
52    | 2025-04-25 09:30:00  | ENTER SHORT     | 16800.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 125.00)
52    | 2025-04-25 15:00:00  | EXIT (Square Off) | 16258.00   | 542.00     | Auto Square Off at 15:00
