Fetching data for NSE:DIXON-EQ from Oct 1, 2025 to Nov 30, 2025...
Fetching 2025-10-01 to 2025-10-31...
  Fetched 2521 candles.
Fetching 2025-11-01 to 2025-11-30...
  Fetched 2375 candles.
Total Fetched Candles: 4896

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
155   | 2025-10-31 11:33:00  | EXIT (SL)       | 15664.00   | 14.00      | SL Hit (Close 15664 >= SL 15663.51)
156   | 2025-10-31 11:33:00  | ENTER LONG      | 15664.00   | 0.00       | SL Reversal Entry
156   | 2025-10-31 11:36:00  | EXIT (SL)       | 15639.00   | -25.00     | SL Hit (Close 15639 <= SL 15651.00)
157   | 2025-10-31 11:36:00  | ENTER SHORT     | 15639.00   | 0.00       | SL Reversal Entry
157   | 2025-10-31 11:54:00  | EXIT (SL)       | 15669.00   | -30.00     | SL Hit (Close 15669 >= SL 15662.71)
158   | 2025-10-31 11:54:00  | ENTER LONG      | 15669.00   | 0.00       | SL Reversal Entry
158   | 2025-10-31 12:12:00  | EXIT (SL)       | 15652.00   | -17.00     | SL Hit (Close 15652 <= SL 15663.84)
159   | 2025-10-31 12:12:00  | ENTER SHORT     | 15652.00   | 0.00       | SL Reversal Entry
159   | 2025-10-31 12:21:00  | EXIT (Reversal) | 15666.00   | -14.00     | Reversed to LONG
160   | 2025-10-31 12:21:00  | ENTER LONG      | 15666.00   | 0.00       | Reversal Entry (Close 15666 > VWAP 15663.70)
160   | 2025-10-31 12:27:00  | EXIT (SL)       | 15652.00   | -14.00     | SL Hit (Close 15652 <= SL 15657.00)
161   | 2025-10-31 12:27:00  | ENTER SHORT     | 15652.00   | 0.00       | SL Reversal Entry
161   | 2025-10-31 12:30:00  | EXIT (Reversal) | 15665.00   | -13.00     | Reversed to LONG
162   | 2025-10-31 12:30:00  | ENTER LONG      | 15665.00   | 0.00       | Reversal Entry (Close 15665 > VWAP 15663.65)
162   | 2025-10-31 12:36:00  | EXIT (Reversal) | 15660.00   | -5.00      | Reversed to SHORT
163   | 2025-10-31 12:36:00  | ENTER SHORT     | 15660.00   | 0.00       | Reversal Entry (Close 15660 < VWAP 15663.63)
163   | 2025-10-31 13:03:00  | EXIT (SL)       | 15663.00   | -3.00      | SL Hit (Close 15663 >= SL 15662.97)
164   | 2025-10-31 13:03:00  | ENTER LONG      | 15663.00   | 0.00       | SL Reversal Entry
164   | 2025-10-31 13:06:00  | EXIT (Reversal) | 15656.00   | -7.00      | Reversed to SHORT
165   | 2025-10-31 13:06:00  | ENTER SHORT     | 15656.00   | 0.00       | Reversal Entry (Close 15656 < VWAP 15662.78)
165   | 2025-10-31 13:12:00  | EXIT (SL)       | 15670.00   | -14.00     | SL Hit (Close 15670 >= SL 15663.00)
166   | 2025-10-31 13:12:00  | ENTER LONG      | 15670.00   | 0.00       | SL Reversal Entry
166   | 2025-10-31 13:21:00  | EXIT (SL)       | 15635.00   | -35.00     | SL Hit (Close 15635 <= SL 15647.00)
167   | 2025-10-31 13:21:00  | ENTER SHORT     | 15635.00   | 0.00       | SL Reversal Entry
167   | 2025-10-31 15:00:00  | EXIT (Square Off) | 15513.00   | 122.00     | Auto Square Off at 15:00:00
168   | 2025-11-03 09:15:00  | ENTER SHORT     | 15450.00   | 0.00       | Fresh Entry (Close 15450 < VWAP 15460.67)
